LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
fully cellular containership,353657,Xin Los Angeles,Live,"Hong Kong, S.A.R., China",57365,2006,"Neo-Panamax, 8'-12'TEU",111889,Single,VRBX6,108069,1558,Samsung Shipbuilding & Heavy Industries Company Limited,Goeje Is.,336.7,321.0,45.60,45.59,27.2,15.03,12.17,—,B&W Diesel A/S,COSCO Shipping Development Company Limited,People's Republic of China,Hong Kong,9572,China COSCO Shipping Corporation Limited (China Cosco Shipping Group) (COSCO Shipping) (COSCOCS),People's Republic of China,COSCO Shipping Development Company Limited,People's Republic of China,Yangshan A Shipping Company Limited,"Hong Kong, S.A.R., China",Shanghai Ocean Shipping Company Limited,People's Republic of China,COSCO Shipping Lines Company Limited,People's Republic of China,—,—,Shanghai Ocean Shipping Company Limited,People's Republic of China,—,—,—,—,9307217,477158700,68520,93160,12K98MC-C
fully cellular containership,353658,Pusan C.,Live,Cyprus,57365,2006,"Neo-Panamax, 8'-12'TEU",111737,Single,C4NK2,108069,1559,Samsung Shipbuilding & Heavy Industries Company Limited,Goeje Is.,336.7,321.0,45.63,45.59,27.2,15.0,12.2,—,B&W Diesel A/S,Danaos Shipping Company Limited,Greece,Limassol,9572,Danaos Corporation,Greece,Danaos Shipping Company Limited,Greece,Karlita Shipping Company Limited,Cyprus,Danaos Shipping Company Limited,Greece,Mediterranean Shipping Company S.A. (MSC),Switzerland,—,—,Danaos Shipping Company Limited,Greece,Unknown,Open Loop,STI MARINE,—,9307229,209251000,68520,93160,12K98MC-C
fully cellular containership,353659,Xin Shanghai,Live,"Hong Kong, S.A.R., China",57365,2006,"Neo-Panamax, 8'-12'TEU",111737,Single,VRCC6,108069,1560,Samsung Shipbuilding & Heavy Industries Company Limited,Goeje Is.,336.7,321.0,45.64,45.6,27.2,15.03,12.17,MAN Diesel AS,B&W Diesel A/S,COSCO Shipping Development Company Limited,People's Republic of China,Hong Kong,9574,China COSCO Shipping Corporation Limited (China Cosco Shipping Group) (COSCO Shipping) (COSCOCS),People's Republic of China,COSCO Shipping Development Company Limited,People's Republic of China,Yangshan B Shipping Company Limited,People's Republic of China,Shanghai Ocean Shipping Company Limited,People's Republic of China,—,—,—,—,Shanghai Ocean Shipping Company Limited,People's Republic of China,Unknown,Unknown,Unknown Scrubber Manufacturer,Retrofit,9307231,477282900,68520,93000,12K98MC-C
fully cellular containership,353660,Le Havre,Live,Cyprus,57365,2006,"Neo-Panamax, 8'-12'TEU",111737,Single,C4PW2,108069,1561,Samsung Shipbuilding & Heavy Industries Company Limited,Goeje Is.,336.7,321.0,45.60,45.59,27.2,15.0,12.2,—,B&W Diesel A/S,Danaos Shipping Company Limited,Greece,Limassol,9572,Danaos Corporation,Greece,Danaos Shipping Company Limited,Greece,Ramona Marine Company Limited,Cyprus,Danaos Shipping Company Limited,Greece,Mediterranean Shipping Company S.A. (MSC),Switzerland,—,—,Danaos Shipping Company Limited,Greece,Unknown,Open Loop,STI MARINE,—,9307243,209979000,68520,93160,12K98MC-C
fully cellular containership,353692,Safmarine Meru,Dead,"Hong Kong, S.A.R., China",29707,2006,"Panamax, 3'-5'TEU",61392,Single,VROX7,50686,1699,HD Hyundai Heavy Industries Company Limited,Ulsan,292.08,277.0,32.25,32.25,21.7,13.52,8.18,B&W Diesel A/S,B&W Diesel A/S,Chinese Breakers,—,Hong Kong,4154,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9311696,477849200,46411,62238,10K90MC-C
fully cellular containership,353693,Lorraine,Live,Liberia,13574,2006,"Feedermax, 2'-3'TEU",37800,Single,A8IZ3,27786,120,Wadan Yards MTW GmbH,Wismar,221.74,209.6,29.80,29.8,16.4,11.4,0.0,H. Cegielski-Poznan S.A.,B&W Diesel A/S,XT Management Limited,Israel,Monrovia,2742,XT Holding Limited,Israel,XT Management Limited,Israel,Favel Shipholding Incorporated,Liberia,XT Management Limited,Israel,—,—,—,—,XT Management Limited,Israel,—,—,—,—,9311763,636012905,21769,29598,7L70MC
fully cellular containership,353695,AS Carlotta,Live,Antigua & Barbuda,13574,2006,"Feedermax, 2'-3'TEU",37455,Single,V2DV5,28372,122,Wadan Yards MTW GmbH,Wismar,221.62,209.62,29.80,29.8,16.4,11.4,5.0,H. Cegielski-Poznan S.A.,B&W Diesel A/S,MPC Container Ships ASA,Norway,St. John's,2723,MPC group of companies,Germany,MPC Container Ships ASA,Norway,AS Carlotta Schifffahrtsgesellschaft mbH & Company KG,Germany,Wilhelmsen Ahrenkiel Ship Management GmbH & Company KG,Germany,Ocean Network Express Private Limited (ONE),Republic of Singapore,—,—,Wilhelmsen Ahrenkiel Ship Management GmbH & Company KG,Germany,Unknown,Unknown,Unknown Scrubber Manufacturer,—,9311775,305347000,21770,29598,7L70MC-C
fully cellular containership,353765,Hutton,Live,Liberia,13574,2006,"Feedermax, 2'-3'TEU",37883,Single,5LJS9,28372,123,Wadan Yards MTW GmbH,Wismar,221.69,209.62,29.80,29.8,16.4,11.4,5.0,H. Cegielski-Poznan S.A.,B&W Diesel A/S,Conbulk Shipmanagement Corporation,Greece,Monrovia,2742,Dimitrios Dalakouras & George Bamiotis,Greece,Conbulk Shipmanagement Corporation,Greece,GG Holdings II LLC,Marshall Islands,Conbulk Shipmanagement Corporation,Greece,Hapag-Lloyd Aktiengesellschaft,Germany,—,—,Conbulk Shipmanagement Corporation,Greece,Unknown,Unknown,Unknown Scrubber Manufacturer,—,9311787,636022635,21770,29598,7L70MC-C
fully cellular containership,353766,AS Christiana,Live,Antigua & Barbuda,13574,2006,"Feedermax, 2'-3'TEU",37883,Single,V2DV4,28372,124,Wadan Yards MTW GmbH,Wismar,221.7,209.62,29.80,29.8,16.4,11.4,5.0,H. Cegielski-Poznan S.A.,B&W Diesel A/S,MPC Container Ships ASA,Norway,St. John's,2742,MPC group of companies,Germany,MPC Container Ships ASA,Norway,AS Christiana Schifffahrtsgesellschaft mbH & Company KG,Germany,Marlow Ship Management Deutschland GmbH & Company KG,Germany,Harper Petersen Holding GmbH & Company KG,Germany,—,—,Marlow Ship Management Deutschland GmbH & Company KG,Germany,Unknown,Unknown,Unknown Scrubber Manufacturer,—,9311799,305346000,21770,29598,7L70MC-C
fully cellular containership,353770,MSC Capetown III,Live,Portugal,15023,2006,"Feedermax, 2'-3'TEU",39228,Single,CRYB,28911,390,HD Hyundai Mipo Company Limited,Ulsan,222.16,210.0,30.00,30.0,16.8,12.0,4.8,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Mediterranean Shipping Company S.A. (MSC),Switzerland,Porto Santo,2824,Mediterranean Shipping Company S.A. (MSC),Switzerland,Mediterranean Shipping Company S.A. (MSC),Switzerland,Capheira Oceanway Limited,Liberia,MSC Shipmanagement Limited,Cyprus,—,—,—,—,MSC Shipmanagement Limited,Cyprus,—,—,—,—,9311737,255983000,25270,34300,7K80MC-C
