LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
vehicle carrier,7235188,Tonsberg,Live,Malta,27215,2011,50'+ gt,43878,Double Hull,9HA2066,75251,2262,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,265.00,250.00,32.27,32.26,15.20,12.33,2.87,—,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Valletta,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wilhelmsen Lines Shipowning Malta Limited,Malta,Wilhelmsen Ship Management (Norway) AS,Norway,—,—,—,—,Wilhelmsen Ship Management (Norway) AS,Norway,—,—,—,—,9515383,249904000,21770,29194,7L70MC
vehicle carrier,7236002,Parsifal,Live,Norway (Int. Register),27215,2011,50'+ gt,41820,Single,LATL8,75251,2263,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,265.00,250.00,32.27,32.26,33.22,12.30,20.92,Kawasaki Heavy Industries Limited Shipbuilding Division,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Bergen,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wallenius Wilhelmsen Shipowning Norway AS,Norway,Wallenius Marine Singapore Private Limited,Republic of Singapore,—,—,—,—,Wallenius Marine AB,Sweden,—,—,—,—,9515395,259024000,21770,25158,7L70ME-C
vehicle carrier,7236264,Tysla,Live,Malta,27215,2012,50'+ gt,43878,Single,9HA2067,75251,2264,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,265.00,250.00,32.27,32.26,15.20,12.30,2.90,—,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Valletta,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wilhelmsen Lines Shipowning Malta Limited,Malta,Wilhelmsen Ship Management (Norway) AS,Norway,—,—,—,—,Wilhelmsen Ship Management (Norway) AS,Norway,—,—,—,—,9515400,249909000,21770,29194,7L70ME-C
vehicle carrier,7236744,Salome,Live,Norway (Int. Register),27215,2012,50'+ gt,43878,Single,LATM8,75251,2265,Mitsubishi Heavy Industries Limited Shipbuilding,Nagasaki,265.00,250.00,32.27,32.26,33.22,12.30,20.92,—,B&W Diesel A/S,Wallenius Wilhelmsen Ocean Holding AS,Norway,Bergen,—,Wilh Wilhelmsen ASA (WILSHIP),Norway,Wallenius Wilhelmsen Ocean Holding AS,Norway,Wallenius Wilhelmsen Shipowning Norway AS,Norway,Wallenius Marine Singapore Private Limited,Republic of Singapore,—,—,—,—,Wallenius Marine AB,Sweden,—,—,—,—,9515412,257242000,21770,29194,7L70ME-C
vehicle carrier,72544,City of Berytus,Dead,Dominica,2530,1974,-30'gt,1530,Single,—,6656,331,Imabari Shipbuilding Company Limited,Imabari,105.00,—,17.20,17.20,10.40,5.00,5.40,The Hanshin Diesel Works Limited,The Hanshin Diesel Works Limited,Belgian Breakers,—,Portsmouth,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7401681,—,3309,4500,6LU54
vehicle carrier,72615,Deborah D.,Dead,Panama,1249,1964,-30'gt,2252,Single,—,1674,—,—,,—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6413522,—,—,—,UNKNOWN
vehicle carrier,727208,Hoegh St. Petersburg,Live,Norway (Int. Register),26276,2009,50'+ gt,21285,Single,LAII7,68392,4453,Hanwha Ocean Company Limited,Okpo,228.79,218.79,32.28,32.26,13.95,10.02,4.95,Doosan Engine Company Limited,B&W Diesel A/S,Hoegh Autoliners ASA,Norway,Oslo,—,Leif Hoegh & Company As,Norway,Hoegh Autoliners ASA,Norway,Hoegh Autoliners Shipping AS,Norway,Hoegh Technical Management Incorporated,Philippines,—,—,—,—,Hoegh Autoliners Management AS,Norway,—,—,—,—,9420045,257366000,14280,16503,7S60MC
vehicle carrier,727209,Hoegh Copenhagen,Live,Norway (Int. Register),26276,2010,50'+ gt,21108,Single,LAIJ7,68392,4454,Hanwha Ocean Company Limited,Okpo,228.70,218.80,32.28,32.25,32.59,10.02,22.57,Doosan Engine Company Limited,B&W Diesel A/S,Hoegh Autoliners Management AS,Norway,Oslo,—,Leif Hoegh & Company As,Norway,Hoegh Autoliners Management AS,Norway,Parcar Shipholding AS,Norway,Hoegh Technical Management Incorporated,Philippines,—,—,—,—,Hoegh Autoliners Management AS,Norway,—,—,—,—,9420057,257368000,12138,16503,7S60MC
vehicle carrier,72721,Sea Bridge,Dead,Tonga,3966,1974,-30'gt,4095,Single,—,5236,258,Geibi Shipbuilding Industries Company Limited,Kure,98.00,89.95,16.60,16.60,7.05,6.22,0.83,ITO Engineering Company Limited,ITO Engineering Company Limited,Meri Mar,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7370129,—,3729,5000,M566HUS
vehicle carrier,730,Akarita,Dead,Liberia,4992,1959,-30'gt,9400,Single,—,11081,—,—,,178.00,164.59,23.77,23.77,15.09,8.66,6.43,—,Unknown Engine Designer,—,—,Monrovia,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5013648,—,7457,10000,UNKNOWN
vehicle carrier,73023,Bright Vega,Dead,"Hong Kong, S.A.R., China",8522,1976,-30'gt,4733,Single,—,14496,1035,Miho Shipbuilding Company Limited,Shimizu,121.00,110.00,19.80,19.80,11.00,9.10,1.90,NKK Corporation,Semt Pielstick SA,Univan,—,Hong Kong,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7513977,—,6935,9300,16PC2-5V-400
vehicle carrier,73306,Carib Sea,Dead,Bahamas,2976,1976,-30'gt,2175,Single,—,4343,237,Astilleros Construcciones S.A.,Vigo,88.00,80.02,15.96,15.96,14.15,5.18,8.97,Deutz AG,Deutz AG,Joint Vessels,—,Nassau,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7409102,—,2237,3000,DEUTZ DIESEL
vehicle carrier,733128,Paganella,Live,Marshall Islands,14551,2009,30'-50'gt,11454,Single,V7A7494,47020,2073,Yangfan Group Company Limited,Zhoushan,182.97,170.20,32.00,31.50,12.80,8.75,4.05,HD Hyundai Heavy Industries Company Limited,B&W Diesel A/S,Reederei F. Laeisz GmbH,Germany,Majuro,—,F. Laeisz GmbH,Germany,Reederei F. Laeisz GmbH,Germany,MS  'Paganella 2' GmbH & Co KG,Germany,Reederei F. Laeisz GmbH,Germany,—,—,—,—,Reederei F. Laeisz GmbH,Germany,—,—,—,—,9427926,538090648,12087,16433,9S50MC-C
