Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng
Straits Abadi,asphalt tanker,Kinoe,Sasaki Shipbuilding Company Limited,280296,Live,Malaysia,365,1'+ dwt,1524,Single,9MWK2,747,610,69.88,-,12.00,12.00,4.45,0.55,Akasaka Diesels Limited,Port Klang,-,Blackhem Holdings Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,-,-,-,-,9163099,533130595,5.00,1997,-,-,-,-,Akasaka Diesels Limited,1323,1800,A31R,-,-,-,-,-,-,2011-01-11T00:00:00,-,-,-,May Maritime Services Sendirian Berhad,Malaysia,May Maritime Services Sendirian Berhad,Malaysia,MYPKG,-,A,17 Aug 2026 14:15:12 GMT,23 Jan 2027 00:06:00 GMT,May Maritime Services Sendirian Berhad,Malaysia,"3° 2' 53"" N","101° 20' 51"" E"
Langust,water tanker,Svetlyy,Sudoremont-Zapad Joint Stock Company,280903,Live,Russia,77,-1' dwt,314,Single,-,191,42,29.45,28.50,8.15,7.58,3.12,0.48,Russkiy Diesel Firm,Novorossiysk,-,A/O Portovyy Flot (PORTOFLOT),Russian Federation,A/O Portovyy Flot (PORTOFLOT),Russian Federation,A/O Portovyy Flot (PORTOFLOT),Russian Federation,-,-,-,-,8832588,-,3.60,1990,-,-,-,-,Daldizel Factory,167,224,6CHNSP18/22,-,-,-,-,-,-,2011-10-14T00:00:00,-,-,-,-,-,JSC 'Fleet of Novorossiysk Commercial Sea Port',Russian Federation,-,-,-,-,-,A/O Portovyy Flot (PORTOFLOT),Russian Federation,-,-
Poseidon Eco,asphalt tanker,Wismar,Wadan Yards MTW GmbH,281857,Live,Guinea-Bissau,5054,1'+ dwt,15441,Double Hull,J5BB7,10404,276,145.88,137.00,22.52,22.50,8.70,2.55,B&W Diesel A/S,-,-,Unknown Owners,-,Unknown Owners,-,Poseidon Eco Shipping Incorporated,Marshall Islands,-,-,-,-,9169770,630001243,11.25,1999,-,-,-,-,MAN Energy Solutions SE,5300,7201,8S35MC,-,Indian Register,-,-,2019-07-12T00:00:00,2017-08-13T00:00:00,2024-01-01T00:00:00,2019-07-12T00:00:00,2029-07-07T00:00:00,2029-07-07T00:00:00,Jacinto Marine Services,India,Jacinto Marine Services,India,KAZ IRAQ,-,A,17 Aug 2026 14:11:04 GMT,20 Aug 2026 03:30:00 GMT,Unknown Owners,-,"25° 49' 55"" N","56° 56' 20"" E"
Nelma,water tanker,Svetlyy,Sudoremont-Zapad Joint Stock Company,284497,Live,Russia,73,-1' dwt,296,Single,-,191,15,29.00,-,7.60,-,3.10,0.50,Russkiy Diesel Firm,-,-,Kaliningrad Fishing Port Authority,Russian Federation,Kaliningrad Fishing Port Authority,Russian Federation,Kaliningrad Fishing Port Authority,Russian Federation,-,-,-,-,8328733,-,3.60,1983,-,-,-,-,Russian Engine Builders,167,224,6CHNSP18/22,-,-,-,-,-,-,-,-,-,-,-,-,Kaliningrad Fishing Port Authority,Russian Federation,-,-,-,-,-,Kaliningrad Fishing Port Authority,Russian Federation,-,-
Hatsumizu Maru,water tanker,Osaka,Osaka Shipbuilding Company Limited,284606,Live,Japan,-,-1' dwt,226,Single,JI2051,176,-,26.00,-,7.70,-,2.40,0.70,Unknown Engine Designer,-,-,Hokoku Service Y.K.,Japan,Hokoku Service Y.K.,Japan,Hokoku Service Y.K.,Japan,-,-,-,-,6407925,-,3.10,1964,-,-,-,-,Fuji Diesel Company Limited,373,500,6L26BGSH,-,-,-,-,-,-,-,-,-,-,-,-,Hokoku Service Y.K.,Japan,-,-,-,18 Feb 2018 08:28:09 GMT,-,Hokoku Service Y.K.,Japan,"9° 11' 47"" S","165° 39' 41"" E"
Sea Bass,water tanker,La Spezia,Cantiere Navale O.R.A.M. SRL,285992,Live,Panama,350,-1' dwt,791,Single,HOA7298,407,80,45.50,43.00,8.02,8.00,-,-,Deutz AG,Panama,-,Francesco Adorno,Italy,Francesco Adorno,Italy,Ralf Holdings Limited,Malta,-,-,-,-,6821793,-,3.20,1968,-,-,-,-,Deutz AG,380,250,BF8M1015MC,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),RINA Services S.p.A.,-,-,-,-,2017-02-22T00:00:00,-,-,-,-,-,Ralf Holdings Limited,Malta,SALERNO,-,A,07 Nov 2022 07:41:43 GMT,17 Mar 2023 19:00:00 GMT,Francesco Adorno,Italy,"37° 59' 20"" N","13° 42' 47"" E"
Rebekah,asphalt tanker,Kinoe,Hitachi Zosen Corporation,286970,Live,Indonesia,436,1'+ dwt,1378,Single,PMCW,987,371,67.00,63.00,11.51,11.51,4.22,0.78,The Hanshin Diesel Works Limited,Jakarta,-,P.T. Arta Samudera Line,Indonesia,P.T. Arta Samudera Line,Indonesia,P.T. Arta Samudera Line,Indonesia,-,-,-,-,8310487,525130307,5.00,1983,-,-,-,-,The Hanshin Diesel Works Limited,1030,1400,6LUN28AG,-,Biro Klasifikasi Indonesia,-,-,-,-,-,-,-,-,-,-,P.T. Arta Samudera Line,Indonesia,-,-,A,17 Aug 2026 11:31:30 GMT,-,P.T. Arta Samudera Line,Indonesia,"3° 44' 7"" S","114° 30' 22"" E"
Athe Nova,asphalt tanker,Yawatahama,Kurinoura Dockyard K.K.,287325,Live,Kyrgyzstan,751,1'+ dwt,2915,Double Hull,-,2502,348,95.50,89.50,13.80,13.80,4.80,1.60,Akasaka Diesels Limited,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,9188116,451800888,6.40,1998,-,-,-,-,Akasaka Diesels Limited,1912,2600,A37,-,-,-,-,-,-,2012-04-02T00:00:00,-,-,-,-,-,Unknown Owners,-,-,-,A,17 Aug 2026 13:58:22 GMT,-,Unknown Owners,-,"23° 37' 31"" N","58° 34' 5"" E"
Lady Swithin II,water tanker,Guangzhou,Guangdong New China Shipyard,295530,Live,Nigeria,274,1'+ dwt,1166,Single,5NGX3,917,123,57.00,54.80,15.00,15.00,2.20,1.00,Caterpillar Incorporated,Lagos,-,High Tide Marine Nig Limited,Nigeria,High Tide Marine Nig Limited,Nigeria,High Tide Marine Nig Limited,Nigeria,-,-,-,-,9206889,657313000,3.20,1999,-,-,-,-,Caterpillar Incorporated,538,730,3412,-,-,-,-,-,-,2004-11-01T00:00:00,-,-,-,-,-,High Tide Marine Nig Limited,Nigeria,-,-,B,25 Sep 2025 16:54:53 GMT,-,High Tide Marine Nig Limited,Nigeria,"4° 58' 24"" N","8° 19' 22"" E"
Arena,asphalt tanker,Hashihama,Shin Kurushima Dockyard Company Limited,2960298,Live,Nicaragua (False Flag),325,1'+ dwt,1266,Single,-,992,2560,68.82,63.20,11.00,10.81,4.05,0.45,The Hanshin Diesel Works Limited,-,-,Unknown Owners,-,Unknown Owners,-,Unknown Owners,-,-,-,-,-,8806321,350007623,4.50,1988,-,-,-,-,-,1177,1600,6EL30,-,-,-,-,-,-,-,-,-,-,-,-,Unknown Owners,-,-,-,A,17 Aug 2026 14:13:32 GMT,-,Unknown Owners,-,"25° 16' 8"" N","55° 15' 23"" E"
