Name,LLI Vessel Type,Built At,Built By,LLI NO,Status,Flag,Net Weight,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Maximum Draught (m),Freeboard (m),Designed By,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,IMO,MMSI,Depth (m),Built,Scrubber installation type,Scrubber manufacturer,Scrubber operating arrangement,Scrubber type,Engine Built By,Engine Power (kW),Engine Horsepower,Engine Designation,P & I Club,Class 1,Class 2,Class 3,Last docking survey date,Last intermediate survey date,Last special survey date,Last tailshaft survey date,Next Docking Survey Date,Next Special Survey Date,ISM Manager,ISM Manager Country/Region,Technical Manager,Technical Manager Country/Region,AIS Destination,Matched Destination,Latest AIS message type,Latest AIS message timestamp,AIS ETA,Company contact,Company contact Country/Region,Lat,Lng,# Times In,Total Time In Area
Wudang,Liquefied Natural Gas Carrier,China,Hudong-Zhonghua Shipbuilding (Group) Company Limited,13426234,Live,"Hong Kong, S.A.R., China",37327,"LNG VLGC, 100'-200'cbm",91466,Double Hull,VRUU6,114209,H1832A,295.00,288.00,45.00,45.00,26.25,8.30,Wartsila Corporation,Hong Kong,-,China COSCO Shipping Corporation Limited (China Cosco Shipping Group) (COSCO Shipping) (COSCOCS),People's Republic of China,United Liquefied Gas Shipping (Hong Kong) Company Limited,People's Republic of China,United Glory LNG Shipping Company Limited,"Hong Kong, S.A.R., China",PetroChina Company Limited,People's Republic of China,-,-,9915909,477846500,26.50,2022,-,-,-,-,-,-,-,6X72DF,Assuranceforeningen Gard,China Classification,Lloyds Register,-,2025-04-17T00:00:00,-,-,-,2027-12-14T00:00:00,2027-12-14T00:00:00,COSCO Shipping LNG (Hong Kong) Ship Management Company Limited,"Hong Kong, S.A.R., China",COSCO Shipping LNG (Hong Kong) Ship Management Company Limited,"Hong Kong, S.A.R., China",FOR ORDER,Cape Town,A,03 Jun 2026 12:03:09 GMT,14 Jun 2026 00:01:00 GMT,United Liquefied Gas Shipping (Hong Kong) Company Limited,People's Republic of China,"29° 52' 17"" S","42° 0' 5"" E",2,"2 days, 19 hours"
Orion Jessica,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,13437272,Live,Malta,34267,"LNG VLGC, 100'-200'cbm",95400,Double Hull,9HA5869,114221,H3189,299.00,291.00,46.40,46.40,12.50,13.50,Winterthur Gas & Diesel Limited (WinGD),Valletta,-,SNC Concerto Lease,France,SNC Concerto Lease,France,SNC Concerto Lease,France,Shell International Trading & Shipping Company Limited (STASCO),United Kingdom,-,-,9917543,256512000,26.00,2023,-,-,-,-,-,-,-,5X72DF,NorthStandard,DNV,-,-,-,-,-,-,2028-06-20T00:00:00,2028-06-20T00:00:00,Bernhard Schulte Shipmanagement (Hellas) SPLLC,Greece,Bernhard Schulte Shipmanagement (Hellas) SPLLC,Greece,FOR ORDER,-,A,03 Jun 2026 12:02:56 GMT,05 Jun 2026 05:01:00 GMT,SNC Concerto Lease,France,"13° 46' 25"" S","76° 18' 31"" W",1,"1 day, 7 hours"
SM Golden Eagle,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,13437273,Live,Panama,34254,"LNG VLGC, 100'-200'cbm",95825,Double Hull,3E5060,114180,3191,298.96,285.80,46.40,46.40,12.50,8.50,Winterthur Gas & Diesel Limited (WinGD),Panama,-,Samra Midas (SM) Group,Republic of Korea,Korea Line Corporation,Republic of Korea,SMKLC LNG5 SA,Panama,Shell Tankers Singapore Private Limited,Republic of Singapore,-,-,9917567,352002764,21.00,2023,-,-,-,-,-,-,-,5X72DF,U.K. Mutual Steam Ship Assurance Association (Bermuda) Ltd,Lloyds Register,Korean Register,-,2025-08-21T00:00:00,-,-,-,2028-08-21T00:00:00,2028-08-21T00:00:00,KLC SM Company Limited,Republic of Korea,KLC SM Company Limited,Republic of Korea,CAKTM,-,A,03 Jun 2026 11:52:01 GMT,14 Jun 2026 12:00:00 GMT,Korea Line Corporation,Republic of Korea,"52° 30' 38"" N","165° 36' 26"" W",2,"3 days, 13 hours"
Extremadura Knutsen,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,13448503,Live,France,34254,"LNG VLGC, 100'-200'cbm",95548,Double Hull,FMRS,114180,8096,297.00,-,46.40,46.40,26.50,0.00,Winterthur Gas & Diesel Limited (WinGD),-,-,BNP Paribas S.A.,France,Financiere du Marche Saint-Honore,France,Millenaire Financement 18 SASU,France,Knutsen OAS Shipping AS,Norway,-,-,9918157,228420800,26.50,2023,-,-,-,-,-,-,-,5X72DF,Assuranceforeningen Skuld,Lloyds Register,-,-,2025-12-07T00:00:00,-,-,-,2028-02-15T00:00:00,2028-02-15T00:00:00,Knutsen OAS Shipping AS,Norway,Knutsen OAS Shipping AS,Norway,CNZUH,-,A,03 Jun 2026 12:05:13 GMT,03 Jun 2026 00:10:00 GMT,Financiere du Marche Saint-Honore,France,"21° 54' 14"" N","113° 12' 60"" E",2,"2 days, 14 hours"
Grazyna Gesicka,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Heavy Industries Company Limited,13508499,Live,France,34230,"LNG VLGC, 100'-200'cbm",95428,Double Hull,FMRV,114100,3244,299.00,291.00,46.40,46.40,12.50,14.00,Winterthur Gas & Diesel Limited (WinGD),-,-,Sucden Financial Limited,United Kingdom,Sucden Armateurs SAS,France,SNC Diderot Financement 33,France,Knutsen OAS Shipping AS,Norway,-,-,9922988,228421700,26.50,2023,-,-,-,-,-,-,-,5X72DF,Assuranceforeningen Skuld,Lloyds Register,-,-,2026-04-07T00:00:00,-,-,-,2028-04-27T00:00:00,2028-04-27T00:00:00,Knutsen OAS Shipping AS,Norway,Knutsen LNG France SASU,France,US CRP,Corpus Christi,A,03 Jun 2026 12:00:30 GMT,16 Jun 2026 06:00:00 GMT,Sucden Armateurs SAS,France,"36° 25' 29"" N","10° 41' 53"" W",1,"1 day, 6 hours"
New Apex,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,13561157,Live,Panama,34484,"LNG VLGC, 100'-200'cbm",88875,Double Hull,3E2615,114949,SN2426,293.16,286.00,45.80,45.80,11.50,14.70,Winterthur Gas & Diesel Limited (WinGD),Panama,-,Harim Holdings Company Limited,Republic of Korea,Pan Ocean Company Limited,Republic of Korea,POS Maritime AF SA,Liberia,Galp Power SA,Portugal,-,-,9929106,352001786,26.20,2023,-,-,-,-,-,-,-,5X72DF,NorthStandard,American Bureau,Korean Register,-,-,-,-,-,2028-01-05T00:00:00,2028-01-05T00:00:00,POS SM Company Limited,Republic of Korea,POS SM Company Limited,Republic of Korea,NLEEM,Eemshaven,A,03 Jun 2026 11:45:03 GMT,15 Jun 2026 04:00:00 GMT,Pan Ocean Company Limited,Republic of Korea,"25° 19' 49"" N","87° 35' 2"" W",1,"1 day, 8 hours"
Propane Maru No.8,Liquefied Petroleum Gas Carrier,-,-,13576387,Live,Japan,-,Unknown size,957,Single,JD4683,749,1195,67.90,-,12.00,11.50,4.07,0.73,Unknown Engine Designer,Tokyo,-,Kyowa Marine Transportation Company Limited,Japan,Kyowa Marine Transportation Company Limited,Japan,Kyowa Marine Transportation Company Limited & KM Marine Company Limited,Japan,-,-,-,-,9881184,431014484,4.80,-,-,-,-,-,-,-,-,A31R,-,Nippon Kaiji Kyokai,-,-,-,-,-,-,2029-10-08T00:00:00,2029-10-08T00:00:00,Kyowa Marine Transportation Company Limited,Japan,Kyowa Marine Transportation Company Limited,Japan,>JP SBK OFF,-,A,03 Jun 2026 12:07:22 GMT,01 Jun 2026 17:40:00 GMT,Kyowa Marine Transportation Company Limited,Japan,"34° 30' 12"" N","135° 20' 20"" E",28,"1 month, 2 days"
Energy Fortitude,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,13727727,Live,Marshall Islands,33327,"LNG VLGC, 100'-200'cbm",95165,Double Hull,V7A7281,111089,8107,289.90,281.30,-,46.10,12.50,13.80,Winterthur Gas & Diesel Limited (WinGD),Majuro,-,Kanellakis group of companies,Greece,Alpha Gas SA,Greece,Walton Navigation SA,Marshall Islands,-,-,-,-,9948700,538010698,26.30,2024,-,-,-,-,-,-,-,5X72DF,Assuranceforeningen Gard,BV (provisional), (provisional), (provisional),-,-,2024-03-01T00:00:00,-,2029-03-04T00:00:00,2029-03-04T00:00:00,Alpha Gas SA,Greece,Alpha Gas SA,Greece,FOR ORDERS,-,A,03 Jun 2026 12:04:37 GMT,09 Jun 2026 11:00:00 GMT,Alpha Gas SA,Greece,"25° 9' 33"" N","89° 28' 29"" W",1,—
Puteri Santubong,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,13747702,Live,Marshall Islands,33099,"LNG VLGC, 100'-200'cbm",93414,Double Hull,V7A6225,110331,3295,289.97,281.30,-,46.10,12.50,13.80,Winterthur Gas & Diesel Limited (WinGD),Majuro,-,Bank of Communications Company Limited,People's Republic of China,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China",Xiang H135 International Ship Lease Company Limited,"Hong Kong, S.A.R., China",Hyundai LNG Shipping Company Limited,Republic of Korea,-,-,9937957,538010567,26.30,2024,-,-,-,-,-,-,-,5X72DF,"Britannia Steam Ship Insurance Association Ltd., The",Lloyds Register,Bureau Veritas,-,-,-,-,-,2029-06-02T00:00:00,2029-06-02T00:00:00,Hyundai LNG Shipping Company Limited,Republic of Korea,Hyundai LNG Shipping Company Limited,Republic of Korea,CN TXG,-,A,03 Jun 2026 12:03:08 GMT,23 Jun 2026 00:01:00 GMT,Bocom Leasing Management Hong Kong Company Limited,"Hong Kong, S.A.R., China","34° 51' 56"" N","128° 48' 19"" E",2,"2 days, 11 hours"
Saint Barbara,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,13811027,Live,France,34230,"LNG VLGC, 100'-200'cbm",83742,Double Hull,FMTQ,114100,8148,298.97,284.00,-,46.40,26.50,0.00,Unknown Engine Designer,-,-,TS Shipping Invest AS,Norway,Knutsen OAS Shipping AS,Norway,SNC Chopin Leasing 26,France,Polskie Gornictwo Naftowe i Gazownictow (PGNiG),Poland,-,-,9946386,228432700,26.50,2023,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Skuld,Lloyds Register,-,-,-,-,-,-,2028-10-25T00:00:00,2028-10-25T00:00:00,Knutsen OAS Shipping AS,Norway,Knutsen OAS Shipping AS,Norway,PL SWI,Swinoujscie,A,03 Jun 2026 12:03:57 GMT,07 Jun 2026 04:00:00 GMT,Knutsen OAS Shipping AS,Norway,"49° 55' 56"" N","2° 27' 31"" W",1,"1 day, 7 hours"
Ignacy Lukasiewicz,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,13811028,Live,France,34230,"LNG VLGC, 100'-200'cbm",83742,Double Hull,FMTR,114100,8149,298.97,291.00,-,46.40,26.30,0.20,Unknown Engine Designer,-,-,TS Shipping Invest AS,Norway,Knutsen OAS Shipping AS,Norway,SNC Chopin Leasing 27,France,Orlen LNG Shipping Limited,United Kingdom,-,-,9946398,228432800,26.50,2023,-,-,-,-,-,-,-,12V50DF,Assuranceforeningen Skuld,Lloyds Register,-,-,-,-,-,-,2028-12-13T00:00:00,2028-12-13T00:00:00,Knutsen OAS Shipping AS,Norway,Knutsen OAS Shipping AS,Norway,US FPO,"Freeport, TX",A,03 Jun 2026 11:14:50 GMT,10 Jun 2026 12:01:00 GMT,Knutsen OAS Shipping AS,Norway,"12° 47' 13"" N","57° 59' 39"" W",1,"1 day, 8 hours"
Taisei Maru No.8,Liquefied Petroleum Gas Carrier,Imabari,Yamanaka Shipbuilding Company Limited,13835474,Live,Japan,-,Unknown size,995,Single,JD5063,749,1137,66.96,63.00,11.50,11.50,4.16,0.74,Unknown Engine Designer,Matsuyama,-,Onishi Kaiun Company Limited,Japan,Onishi Kaiun Company Limited,Japan,Onishi Kaiun Company Limited,Japan,-,-,-,-,9941257,431018479,4.90,2022,-,-,-,-,-,-,-,A31R,-,Nippon Kaiji Kyokai,-,-,-,-,-,-,2027-03-14T00:00:00,2027-03-14T00:00:00,Onishi Kaiun Company Limited,Japan,Onishi Kaiun Company Limited,Japan,>JP MAR,-,A,03 Jun 2026 11:59:21 GMT,02 Jun 2026 08:00:00 GMT,Onishi Kaiun Company Limited,Japan,"34° 17' 57"" N","133° 47' 30"" E",13,"27 days, 7 hours"
Orion Spirit,Liquefied Natural Gas Carrier,South Korea,Samsung Shipbuilding & Heavy Industries Company Limited,13839646,Live,Malta,34718,"LNG VLGC, 100'-200'cbm",87887,Double Bottom,9HA6027,115728,2592,290.00,284.50,45.80,45.80,11.50,14.70,MAN Energy Solutions SE,Valletta,-,Global Transport Income Fund Master Partnership SCSp,Luxembourg,Orion Transport Holdings Limited,Malta,Orion Malta 1 Limited,Malta,Oceonix Services Limited,United Kingdom,-,-,9956587,256920000,26.20,2024,-,-,-,-,MAN Energy Solutions SE,11033,14795,5G70ME-C10.5-GA-EGRBP,Assuranceforeningen Gard,American Bureau,-,-,-,-,-,-,2029-04-18T00:00:00,2029-04-18T00:00:00,Northern Marine Management Limited,United Kingdom,Northern Marine Management Limited,United Kingdom,FOR ORDERS,-,A,03 Jun 2026 11:15:46 GMT,07 Jun 2026 02:00:00 GMT,Orion Transport Holdings Limited,Malta,"9° 54' 48"" N","71° 58' 54"" E",2,"2 hours, 5 minutes"
Gas Justesen,Combined LNG and LPG Gas Carrier,South Korea,HD Hyundai Heavy Industries Company Limited,13841568,Live,Panama,21381,"LNG, -100'cbm",55076,Double Bottom,3E2279,48855,3301,229.96,223.45,32.25,32.25,11.75,12.00,MAN Diesel AS,Panama,-,Global Marine Financing Company Limited (GMF),Republic of Korea,Global Marine Financing Company Limited (GMF),Republic of Korea,GMF KSS No 1 SA,Panama,KSS Line Limited,Republic of Korea,-,-,9940992,352002349,23.75,2023,-,-,-,-,-,-,-,6G60ME-C10-LGIP,Steamship Mutual Underwriting Association (Bermuda) Ltd,American Bureau,Korean Register,-,-,-,-,-,2028-03-09T00:00:00,2028-03-09T00:00:00,KSS Line Limited,Republic of Korea,KSS Line Limited,Republic of Korea,MAPTM,Tanger Med,A,03 Jun 2026 11:51:24 GMT,13 Jun 2026 07:30:00 GMT,Global Marine Financing Company Limited (GMF),Republic of Korea,"26° 43' 1"" N","70° 32' 39"" W",1,"9 hours, 40 minutes"
Marvel Dove,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Samho Company Limited,13851436,Live,Liberia,33329,"LNG VLGC, 100'-200'cbm",94540,Double Bottom,5LPR2,111099,8173,289.98,281.30,-,46.10,11.50,9.70,MAN Energy Solutions SE,Monrovia,-,CCB (China Construction Bank) Financial Leasing Company Limited,People's Republic of China,CCB Marine Corporation Limited,"Hong Kong, S.A.R., China",Compass Shipping 117 Corporation Limited,"Hong Kong, S.A.R., China",SK Shipping Company Limited,Republic of Korea,-,-,9964182,636023837,21.20,2024,-,-,-,-,HD Hyundai Heavy Industries Company Limited,-,-,6G70ME-C10-GA,Assuranceforeningen Skuld,Korean Register,American Bureau,-,-,-,-,-,2029-07-14T00:00:00,2029-07-14T00:00:00,SK Shipping Company Limited,Republic of Korea,SK Shipping Company Limited,Republic of Korea,USNSS,Sabine Pass,A,03 Jun 2026 12:00:47 GMT,03 Jun 2026 16:30:00 GMT,CCB Marine Corporation Limited,"Hong Kong, S.A.R., China","28° 39' 35"" N","93° 15' 9"" W",1,"1 day, 5 hours"
Apostolos,Liquefied Natural Gas Carrier,South Korea,HD Hyundai Heavy Industries Company Limited,13854756,Live,Liberia,34974,"LNG VLGC, 100'-200'cbm",93658,Double Bottom,5LLJ8,116581,3342,299.00,291.00,-,46.40,12.50,8.67,MAN Diesel AS,Monrovia,-,SBI Holdings Incorporated,Japan,SBI Leasing Services Company Limited,Japan,LS-LBR 10 Company Limited,Liberia,JERA Company Incorporated,Japan,-,-,9957737,636022987,21.17,2024,-,-,-,-,-,-,-,5G70ME-C10-GA,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,-,-,-,-,2029-06-27T00:00:00,2029-06-27T00:00:00,Capital Gas Ship Management Corporation,Greece,Capital Gas Ship Management Corporation,Greece,USFPO,-,A,03 Jun 2026 12:02:03 GMT,31 May 2026 19:00:00 GMT,SBI Leasing Services Company Limited,Japan,"28° 51' 55"" N","95° 10' 19"" W",2,"2 days, 12 hours"
Kinyo Maru No.12,Liquefied Petroleum Gas Carrier,Imabari,Hakata Shipbuilding Company Limited,13875905,Live,Japan,-,Unknown size,1300,Double Hull,JD5085,999,873,71.60,-,-,12.20,4.39,0.61,Unknown Engine Designer,Imabari,-,Kinriki Kisen K.K.,Japan,Kinriki Kisen K.K.,Japan,Kinriki Kisen K.K.,Japan,-,-,-,-,9939644,431018699,5.00,2022,-,-,-,-,-,-,-,UNKNOWN,-,Nippon Kaiji Kyokai,-,-,-,-,-,-,2027-04-05T00:00:00,2027-04-05T00:00:00,-,-,Kinriki Kisen K.K.,Japan,-,Funabashi,A,03 Jun 2026 12:05:58 GMT,-,Kinriki Kisen K.K.,Japan,"35° 34' 18"" N","139° 55' 1"" E",27,"6 months, 3 days"
Izumimaru No 3,Liquefied Petroleum Gas Carrier,Sasebo,Maehata Shipbuilding Company Limited,13885281,Live,Japan,-,Unknown size,1221,Single,JD4974,998,358,72.00,66.50,13.00,12.50,4.32,1.68,Unknown Engine Designer,Matsuyama,-,Nippon Gas Line Company Limited,Japan,Nippon Gas Line Company Limited,Japan,Nakahama Kaiun Company Limited & Nippon Gas Line Company Limited,Japan,-,-,-,-,9914228,431017615,6.00,2021,-,-,-,-,-,-,-,A31R,-,Nippon Kaiji Kyokai,-,-,-,-,-,-,2026-08-26T00:00:00,2026-08-26T00:00:00,-,-,Nippon Gas Line Company Limited,Japan,>JP OIG OFF,-,A,03 Jun 2026 12:06:12 GMT,04 Jun 2026 08:00:00 GMT,Nippon Gas Line Company Limited,Japan,"34° 58' 32"" N","136° 44' 1"" E",17,"1 month, 3 days"
Orion Iris,Liquefied Natural Gas Carrier,South Korea,Samsung Heavy Industries Construction & Engineering,13912600,Live,France,34718,"LNG VLGC, 100'-200'cbm",87921,Double Hull,FNWJ,115728,2594,290.00,284.50,45.80,45.80,12.00,9.00,Unknown Engine Designer,-,-,Bred Banque Populaire,France,Ingepar S.A.,France,SAS Valmy Financement 10,France,Orion Global Transport France SAS,France,-,-,9956604,228243350,21.00,2024,-,-,-,-,-,-,-,5G70ME-C10.5-GA,Assuranceforeningen Gard,DNV,-,-,-,-,-,-,2029-09-12T00:00:00,2029-09-12T00:00:00,Bernhard Schulte Shipmanagement (Hellas) SPLLC,Greece,Bernhard Schulte Shipmanagement (Hellas) SPLLC,Greece,GIBRALTAR FOR ORDERS,Gibraltar,A,03 Jun 2026 11:53:47 GMT,17 Jun 2026 00:01:00 GMT,Ingepar S.A.,France,"37° 31' 23"" N","35° 19' 3"" W",1,"1 day, 14 hours"
Assos,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,13912696,Live,Marshall Islands,34974,"LNG VLGC, 100'-200'cbm",93771,Double Bottom,V7A5884,116581,3341,299.00,291.00,-,46.40,11.50,15.00,MAN Diesel AS,Majuro,-,SBI Holdings Incorporated,Japan,SBI Leasing Services Company Limited,Japan,LS-MHL22 Company Limited,Marshall Islands,Tokyo Gas Company Limited,Japan,-,-,9957725,538010316,26.50,2024,-,-,-,-,-,-,-,5G70ME-C10-GA,West of England Mutual Shipowners Protection & Indemnity Association (Luxemburg),American Bureau,-,-,-,-,-,-,2029-05-30T00:00:00,2029-05-30T00:00:00,Capital Gas Ship Management Corporation,Greece,Capital Gas Ship Management Corporation,Greece,USCP6,Cove Point,A,03 Jun 2026 11:14:49 GMT,03 Jun 2026 22:00:00 GMT,SBI Leasing Services Company Limited,Japan,"36° 47' 12"" N","72° 53' 12"" W",2,"4 days, 13 hours"
Izumi Maru No.6,Liquefied Petroleum Gas Carrier,Japan,K.K. Miura Zosensho,14170343,Live,Japan,-,Unknown size,1290,Double Hull,JD5386,999,1673,69.93,-,-,12.50,4.45,1.05,Unknown Engine Designer,-,-,Nippon Gas Line Company Limited,Japan,Nippon Gas Line Company Limited,Japan,Nippon Gas Line Company Limited,Japan,-,-,-,-,1030181,431024081,5.50,2024,-,-,-,-,-,-,-,UNKNOWN,-,Nippon Kaiji Kyokai,-,-,-,-,-,-,2029-06-13T00:00:00,2029-06-13T00:00:00,-,-,Nippon Gas Line Company Limited,Japan,-,Tomakomai,A,03 Jun 2026 12:02:37 GMT,-,Nippon Gas Line Company Limited,Japan,"40° 53' 15"" N","140° 45' 51"" E",17,"1 month, 6 days"
TOKUYO MARU,Liquefied Petroleum Gas Carrier,Japan,K.K. Miura Zosensho,14224201,Live,Japan,-,Unknown size,961,Double Hull,JD5443,748,1678,67.50,-,-,14.00,4.68,3.32,Yanmar Diesel Engine Company Limited,-,-,Kumazawa Kaiun Company Limited,Japan,Kumazawa Kaiun Company Limited,Japan,YK Sasaki Kaiun & Kumazawa Kaiun Company Limited & Japan Railway Construction Transport And Technology Agency,Japan,-,-,-,-,1046362,431025063,8.00,2024,-,-,-,-,Yanmar Diesel Engine Co,1840,2467,6EY26W,-,NK (provisional), (provisional), (provisional),-,-,-,-,2029-09-25T00:00:00,2029-09-25T00:00:00,Kumazawa Kaiun Company Limited,Japan,Kumazawa Kaiun Company Limited,Japan,>JP HIJ OFF,Chiba,A,03 Jun 2026 12:01:10 GMT,01 Jun 2026 17:00:00 GMT,Kumazawa Kaiun Company Limited,Japan,"34° 18' 27"" N","132° 22' 53"" E",53,"3 months, 8 days"
LNGT Antarctica,Liquefied Natural Gas Carrier,Nagasaki,Mitsubishi Heavy Industries Limited Shipbuilding,214351,Live,Liberia,31503,"LNG VLGC, 100'-200'cbm",65040,Double Hull,5LPZ4,105010,1996,272.00,259.00,47.20,47.20,11.40,11.46,Mitsubishi Heavy Industries Limited,Monrovia,-,KARMOL - Karpower International B.V. & Mitsui O.S.K. Lines Limited (MOL),Turkiye,KARMOL - Karpower International B.V. & Mitsui O.S.K. Lines Limited (MOL),Turkiye,Antarctica LNGT Company Limited,Marshall Islands,Shell International Trading & Shipping Company Limited (STASCO),United Kingdom,-,-,8608872,636023902,22.86,1989,-,-,-,-,Mitsubishi Heavy Industries Limited,17140,23300,MS24-2,NorthStandard,Bureau Veritas,-,-,2019-05-10T00:00:00,-,2019-06-01T00:00:00,-,2030-06-28T00:00:00,2030-06-28T00:00:00,MOL Global Ship Management Private Limited,Republic of Singapore,MOL Global Ship Management Private Limited,Republic of Singapore,"KUALA LINGGI,MY",-,A,31 May 2026 02:59:20 GMT,04 Jul 2026 13:45:00 GMT,KARMOL - Karpower International B.V. & Mitsui O.S.K. Lines Limited (MOL),Turkiye,"2° 19' 33"" N","101° 55' 35"" E",2,"1 day, 5 hours"
LNG Maleo,Liquefied Natural Gas Carrier,Ichihara,Mitsui Engineering & Shipbuilding Company Limited (Ichihara),216442,Live,Japan,32015,"LNG VLGC, 100'-200'cbm",66892,Double Hull,JFYD,106717,1351,272.00,259.00,47.20,47.20,11.40,15.10,Mitsubishi Heavy Industries Limited,Osaka,-,Mitsui O.S.K. Lines Limited (MOL),Japan,Mitsui O.S.K. Lines Limited (MOL),Japan,Mitsui O.S.K. Lines Limited (MOL),Japan,Lotus Swallow SA,Panama,-,-,8701791,431015000,26.50,1989,-,-,-,-,Mitsubishi Heavy Industries Limited,6665,23300,MS24,Japan Shipowners Mutual Protection & Indemnity Association,Nippon Kaiji Kyokai,-,-,2019-09-05T00:00:00,-,2016-09-20T00:00:00,-,2029-10-03T00:00:00,2029-10-03T00:00:00,MOL LNG Transport Company Limited,Japan,MOL LNG Transport Company Limited,Japan,ID LUW,Luwuk,A,03 Jun 2026 11:45:05 GMT,05 Jun 2026 22:30:00 GMT,Mitsui O.S.K. Lines Limited (MOL),Japan,"6° 56' 12"" N","129° 49' 26"" E",8,"9 days, 7 hours"
LNGT Turkiye,Liquefied Natural Gas Carrier,Ichihara,Mitsui Engineering & Shipbuilding Company Limited (Ichihara),237367,Live,Liberia,31503,"LNG VLGC, 100'-200'cbm",66768,Double Hull,5LPZ5,105010,1370,272.00,259.00,47.20,47.20,11.37,11.49,Mitsubishi Heavy Industries Limited,Monrovia,-,Karadeniz Holding A.S.,Turkiye,Karadeniz Holding A.S.,Turkiye,Khan 3 Maritime Limited,Isle of Man,Kinetics Energies,United Kingdom,-,-,8913150,636023903,22.86,1993,-,-,-,-,Mitsubishi Heavy Industries Limited,17375,23300,MS24-2,Assuranceforeningen Skuld,Lloyds Register,-,-,2022-10-02T00:00:00,-,2022-10-15T00:00:00,-,2027-10-14T00:00:00,2027-10-14T00:00:00,-,-,-,-,-,-,A,28 May 2026 02:52:10 GMT,-,Karadeniz Holding A.S.,Turkiye,"1° 27' 57"" N","103° 49' 33"" E",3,1 day
Hyundai Utopia,Liquefied Natural Gas Carrier,Ulsan,HD Hyundai Heavy Industries Company Limited,247347,Live,South Korea,31129,"LNG VLGC, 100'-200'cbm",71909,Double Hull,DSPI4,103764,H760,274.00,253.26,47.20,47.20,11.77,14.76,Mitsubishi Heavy Industries Limited,Seogwipo,-,Hyundai LNG Shipping Company Limited,Republic of Korea,Hyundai LNG Shipping Company Limited,Republic of Korea,Hyundai LNG Shipping Company Limited,Republic of Korea,KSS Line Limited,Republic of Korea,-,-,9018555,441223000,26.53,1994,-,-,-,-,Mitsubishi Heavy Industries Limited,19637,26699,MS28-2,"Britannia Steam Ship Insurance Association Ltd., The",Korean Register,-,-,-,-,2014-06-01T00:00:00,-,2029-05-31T00:00:00,2029-05-31T00:00:00,Hyundai LNG Shipping Company Limited,Republic of Korea,Hyundai LNG Shipping Company Limited,Republic of Korea,IDLUW->KRINC,Incheon,A,03 Jun 2026 11:47:37 GMT,09 Jun 2026 00:20:00 GMT,Hyundai LNG Shipping Company Limited,Republic of Korea,"7° 16' 5"" N","128° 4' 22"" E",1,"1 day, 5 hours"
American Energy,Liquefied Natural Gas Carrier,St. Nazaire,Chantiers de l'Atlantique,253452,Live,U.S.A.,25861,"LNG VLGC, 100'-200'cbm",73519,Double Hull,KAEC,86205,E30,274.30,260.56,43.30,43.30,12.00,13.40,Kawasaki Heavy Industries Limited (Tokyo),-,-,Crowley Maritime Corporation,United States of America,Crowley Maritime Corporation,United States of America,Crowley LNG Tanker Owner I LLC,United States of America,-,-,-,-,9030802,338860000,25.40,1994,-,Unknown Scrubber Manufacturer,Unknown,Unknown,Kawasaki Shipbuilding Corporation,27088,36326,UA-360,Steamship Mutual Underwriting Association (Bermuda) Ltd,Lloyds Register,-,-,2024-11-04T00:00:00,-,2024-11-23T00:00:00,-,2029-08-23T00:00:00,2029-08-23T00:00:00,Intrepid Ship Management Incorporated,United States of America,Intrepid Ship Management Incorporated,United States of America,USNSS,Sabine Pass,A,03 Jun 2026 11:58:02 GMT,12 Jun 2026 11:00:00 GMT,Crowley Maritime Corporation,United States of America,"16° 37' 52"" N","77° 0' 35"" W",16,"12 days, 20 hours"
