LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
passenger (cruise),356900,SunCruz V,Live,U.S.A.,—,1996,-2'gt,—,Single,WDA9050,98,70,Chesapeake Shipbuilding Incorporated,"",48.76,—,—,—,—,—,—,—,Unknown Engine Designer,SunCruz Casinos,United States of America,—,—,SunCruz Casinos,United States of America,SunCruz Casinos,United States of America,SunCruz Casinos,United States of America,SunCruz Casinos,United States of America,—,—,—,—,—,—,—,—,—,—,—,366860890,—,—,UNKNOWN
passenger (cruise),356945,Bi Hai 3,Live,China,191,2004,-2'gt,33,Single,BKTG5,383,468,Wuhan Nanhua High Speed Ship Engineering Company Limited,Wuhan,48.30,43.00,7.20,7.20,3.30,1.48,1.82,Caterpillar Incorporated,Caterpillar Incorporated,Shengsi Tongzhou Passenger Shipping Company Limited,People's Republic of China,Zhoushan,—,Shengsi Tongzhou Passenger Shipping Company Limited,People's Republic of China,Shengsi Tongzhou Passenger Shipping Company Limited,People's Republic of China,Shengsi Tongzhou Passenger Shipping Company Limited,People's Republic of China,Shengsi Tongzhou Passenger Shipping Company Limited,People's Republic of China,—,—,—,—,—,—,—,—,—,—,9319935,412419370,3592,4817,3516B-HDDITA
passenger (cruise),357005,Brisas del Mar,Live,Colombia,—,2004,-2'gt,—,Single,—,5,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,2803535,—,—,—,UNKNOWN
passenger (cruise),357013,Mary II,Live,Colombia,—,2004,-2'gt,—,Single,—,7,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,Unknown Owners,—,—,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,—,—,—,—,—,—,—,—,2803602,—,—,—,UNKNOWN
passenger (cruise),357118,Tempest,Live,Bermuda,119,2004,-2'gt,167,Single,ZFU5868,174,7,North West Bay Ships Proprietary Limited,Margate(AUS),23.56,20.18,7.80,7.66,—,0.94,—,MTU Friedrichshafen GmbH,MTU Friedrichshafen GmbH,Department of Marine & Ports Services,Bermuda,Hamilton,—,Government of Bermuda,Bermuda,Department of Marine & Ports Services,Bermuda,Department of Marine & Ports Services,Bermuda,Department of Marine & Ports Services,Bermuda,—,—,—,—,—,—,—,—,—,—,9320271,310995868,532,714,8V2000M70
passenger (cruise),357119,Venturilla,Live,Bermuda,—,2004,-2'gt,167,Single,—,174,8,North West Bay Ships Proprietary Limited,Margate(AUS),23.30,20.18,7.80,7.66,—,0.94,—,MTU Friedrichshafen GmbH,MTU Friedrichshafen GmbH,Department of Marine & Ports Services,Bermuda,Hamilton,—,Government of Bermuda,Bermuda,Department of Marine & Ports Services,Bermuda,Department of Marine & Ports Services,Bermuda,Department of Marine & Ports Services,Bermuda,—,—,—,—,—,—,—,—,—,—,9320283,310995869,532,714,8V2000M70
passenger (cruise),357142,Douce France,Live,Belgium,65,1998,-2'gt,—,Single,ONAD,218,-,Alu Marine,France,42.20,37.75,16.00,15.40,3.15,—,2.07,Cummins Incorporated,Cummins Incorporated,Exmar N.V.,Belgium,Antwerp,—,Exmar N.V.,Belgium,Exmar N.V.,Belgium,Saverex N.V.,Belgium,Exmar Shipmanagement BV,Belgium,—,—,—,—,Exmar Shipmanagement BV,Belgium,—,—,—,—,8977285,205388000,224,304,QSB6.7-M
passenger (cruise),357201,Queen Victoria,Live,Bermuda,50618,2007,60'-100'gt,7685,Single,ZCEF3,90746,6127,Fincantieri-Cantieri Navali Italiani S.p.A. Venice,Venice,293.93,265.27,32.26,32.26,10.80,7.90,2.90,Fincantieri-Cantieri Navali Italiani S.p.A. Ancona,Sulzer Turbomachinery Services,Carnival plc,United Kingdom,Hamilton,—,Carnival Corporation,United States of America,Carnival plc,United Kingdom,Carnival plc,United Kingdom,Carnival plc,United Kingdom,—,—,—,—,Carnival plc,United Kingdom,Wet,Open Loop,Ecospray Technologies S.r.l.,Retrofit,9320556,310624000,16060,21537,16ZAV40S
passenger (cruise),357305,MSC Orchestra,Live,Panama,64360,2007,60'-100'gt,10096,Single,3EJF3,92409,R32,Chantiers de l'Atlantique,St. Nazaire,293.80,269.14,32.20,32.20,10.60,7.85,2.75,—,Unknown Engine Designer,MSC Crociere (Mediterranean Shipping Cruises) S.p.A.,Italy,Panama,—,Mediterranean Shipping Company S.A. (MSC),Switzerland,MSC Crociere (Mediterranean Shipping Cruises) S.p.A.,Italy,Orchestra Cruise Limited,Italy,MSC Cruise Management (UK) Limited,United Kingdom,—,—,—,—,MSC Cruise Management (UK) Limited,United Kingdom,Unknown,Unknown,Unknown Scrubber Manufacturer,—,9320099,372497000,17500,23468,LM2500+
passenger (cruise),357343,Costa Concordia,Dead,Italy,87196,2006,100'-150'gt,8900,Single,—,114147,6122,Sestri Cantieri Nav S.p.A.,Genoa,289.59,247.40,35.50,35.50,14.18,8.30,2.91,Fincantieri-Cantieri Navali Italiani S.p.A.,Wartsila Corporation,Costa Crociere,—,Genoa,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9320544,—,12600,17131,12V46
