LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
Roll On Roll Off,140476,Lady Caroline,Live,Syria,576,1980,-5'dwt,305,Single,YKRW,1734,1460,Husumer Shipbuilding (Dock & Repair) GmbH,Husum(DEU),67.87,65.33,12.80,12.80,3.20,1.90,1.30,Deutz MWM AG,Deutz MWM AG,Faros Shipping Company S.a.r.l.,Lebanon,—,—,Faros Shipping Company S.a.r.l.,Lebanon,Faros Shipping Company S.a.r.l.,Lebanon,Med Dream Shipping SA,Honduras,Faros Shipping Company S.a.r.l.,Lebanon,—,—,—,—,Faros Shipping Company S.a.r.l.,Lebanon,—,—,—,—,7909619,468401000,604,810,TBD440-6
roll on roll off with container capacity,140545,Hawaiki Nui,Live,France,330,1980,-5'dwt,1158,Single,FOMH,879,1231,ACH - Construction Navale,La Rochelle,70.31,63.00,14.00,14.00,8.85,4.11,0.05,Societe Moteurs Duvant Crepelle,Atlas Copco Crepelle SA,Societe de Navigation Polynesienne,France,—,80,Societe de Navigation Polynesienne,France,Societe de Navigation Polynesienne,France,Societe de Navigation Polynesienne,France,Societe de Navigation Polynesienne,France,—,—,—,—,Societe de Navigation Polynesienne,France,—,—,—,—,7824429,546018700,1472,2000,12PSN2
Roll On Roll Off,14055,Spirit of Free Enterprise,Dead,Mongolia,455,1968,-5'dwt,1555,Single,—,997,195,ACH - Construction Navale,Le Havre,92.00,80.47,17.40,17.40,7.01,4.76,2.25,Atlas-Mak Maschinenbau GmbH,Mak Motoren GmbH & Company KG,Indian Breakers,—,Ulan Bator,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6823521,—,1044,1400,MAK DIESEL
roll on roll off with container capacity,140552,Ali,Dead,Togo,5366,1980,10'-15'dwt,11400,Single,—,17884,260,Rauma-Repola Oy,Savonlinna,170.93,158.80,23.00,23.00,17.51,7.62,9.91,Fried. Krupp AG Hoesch-Krupp,Mak Motoren GmbH & Company KG,Salamis Lines,—,—,572,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7902635,—,6000,8157,9M551AK
roll on roll off with container capacity,140642,Bostan N.,Live,Turkiye,3169,1980,-5'dwt,4465,Single,TCTQ4,5262,398,Karlskronavarvet AB,Karlskrona,135.35,128.35,16.51,16.50,11.40,4.69,6.71,Nohab Diesel AB,Nohab Polar,Bostan Denizcilik Limited Sirketi,Turkiye,Istanbul,332,Bostan Denizcilik Limited Sirketi,Turkiye,Bostan Denizcilik Limited Sirketi,Turkiye,Bostan Denizcilik Limited Sirketi,Turkiye,Ziyad Denizcilik Yatirim AS,Turkiye,—,—,—,—,Ziyad Denizcilik Yatirim AS,Turkiye,—,—,—,—,7816501,271002735,2685,3600,F216V
roll on roll off with container capacity,140707,Seki Rolette,Dead,Panama,7884,1976,10'-15'dwt,12097,Single,—,10412,—,—,Japan,148.00,138.03,22.05,22.05,12.70,8.96,3.74,Pielstick (Blohm & Voss) Semt,Semt Pielstick SA,Sekihyo L.L.,—,Panama,610,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7518422,—,7755,10400,PIELSTICK DIESEL
Roll On Roll Off,141001,Oglasa,Live,Italy,856,1980,-5'dwt,891,Single,ITMG,2387,885,Fincantieri-Cantieri Navali Italiani S.p.A. Palermo,Palermo,90.86,83.52,16.02,16.00,5.31,4.01,1.30,Wartsila NSD Italia SpA,Fiat Avio SpA,Toscana Regionale Marittima S.p.A. (TOREMAR),Italy,Leghorn,—,Tirrenia Compagnia Italiana di Navigazione S.p.A. (Tirrenia Group),Italy,Toscana Regionale Marittima S.p.A. (TOREMAR),Italy,Toscana Regionale Marittima S.p.A. (TOREMAR),Italy,Toscana Regionale Marittima S.p.A. (TOREMAR),Italy,—,—,—,—,Toscana Regionale Marittima S.p.A. (TOREMAR),Italy,—,—,—,—,7717341,247046800,2780,3780,B230.18
Roll On Roll Off,141006,Gardenia Ace,Dead,Panama,8748,1980,10'-15'dwt,12917,Single,—,28567,250,Shin Yamamoto Shipbuilding Company Limited,Kochi(JPN),175.00,164.42,26.81,26.81,9.91,8.02,1.89,Ishikawajima-Harima Heavy Industries Company Limited,Semt Pielstick SA,Bangladesh Breakers,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7927415,—,10002,13600,16PC2-5V-400
roll on roll off with container capacity,141100,Super Star III,Dead,Panama,6060,1980,10'-15'dwt,12905,Double Bottom,—,9874,880,Burmeister & Wain Shipbuilding A/S,Copenhagen,133.00,122.30,20.50,20.50,12.20,9.40,2.80,B&W Diesel A/S,B&W Diesel A/S,Indian Breakers,—,Panama,380,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7818107,—,4996,6700,5L55GF
Roll On Roll Off,14110476,Sunflower Kamuy,Live,Japan,—,2024,5'-10'dwt,5805,Single,JD5363,15600,840,Naikai Zosen Corporation (Taguma Shipyard),Innoshima,199.40,—,—,28.60,22.00,6.87,15.13,—,Unknown Engine Designer,MOL Sunflower Limited,Japan,—,—,Mitsui O.S.K. Lines Limited (MOL),Japan,MOL Sunflower Limited,Japan,MOL Sunflower Limited,Japan,MOL Sunflower Limited,Japan,—,—,—,—,—,—,—,—,—,—,9965306,431025321,—,—,9S50ME-C8
Roll On Roll Off,141153,Eternal Clipper,Dead,Panama,11663,1980,10'-15'dwt,10802,Single,—,23107,121,HD Hyundai Heavy Industries Company Limited,Ulsan,163.91,155.20,24.70,24.70,13.00,8.01,6.86,NKK Corporation,Semt Pielstick SA,Bangladesh Breakers,—,Panama,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7816903,—,8725,11700,18PC25V
Roll On Roll Off,141156,Virgen del Valle,Dead,Venezuela,1220,1980,-5'dwt,1321,Single,—,2774,—,—,Norway,105.00,95.99,16.50,16.50,10.24,3.90,6.34,Deutz AG,Deutz AG,Consolidada D.F.,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822691,—,2237,3000,RSBV6M540
Roll On Roll Off,141157,Maendeleo,Live,Tanzania,697,1980,-5'dwt,1001,Single,5ITP,1430,OE-80,Tsuneishi Shipbuilding Company Limited,Hiroshima,77.00,—,12.50,12.20,5.40,4.10,1.30,Niigata Shipbuilding & Repair Incorporated,Niigata Shipbuilding & Repair Incorporated,United Republic of Tanzania,Tanzania,—,—,United Republic of Tanzania,Tanzania,United Republic of Tanzania,Tanzania,Zanzibar Shipping Corporation,Tanzania,United Republic of Tanzania,Tanzania,—,—,—,—,—,—,—,—,—,—,7900974,—,1193,1600,8MG25BX
roll on roll off with container capacity,141225,San Jiang Kou,Dead,China,5407,1980,10'-15'dwt,13826,Single,—,13615,1233,Evergreen Heavy Industry Company,Shimonoseki,146.50,135.01,22.74,22.74,15.00,9.18,5.82,NKK Corporation,Semt Pielstick SA,COSCOL.,—,Guangzhou,381,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7902881,—,6786,9100,14PC2-5V-400
roll on roll off with container capacity,141255,Superferry 7,Dead,Philippines,2009,1980,-5'dwt,3119,Single,—,4996,—,—,Japan,140.00,—,20.50,—,11.90,5.40,6.50,—,Unknown Engine Designer,Aboitiz J.,—,—,110,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7920871,—,5816,7800,UNKNOWN
Roll On Roll Off,141276,Jatra II,Live,Indonesia,1689,1980,-5'dwt,818,Single,YCPP,3902,288,Shin Shimoda Dock Company Limited,Shimoda,90.00,81.84,—,15.60,5.00,3.90,1.10,Niigata Shipbuilding & Repair Incorporated,Niigata Shipbuilding & Repair Incorporated,Direktorat Jenderal Perhubungan Darat - Ministry of Land Communications,Indonesia,Jakarta,—,Government of Indonesia,Indonesia,Direktorat Jenderal Perhubungan Darat - Ministry of Land Communications,Indonesia,Direktorat Jenderal Perhubungan Darat - Ministry of Land Communications,Indonesia,PT ASDP Indonesia Ferry (Persero) - Angkutan Sungai Danau & Penyeberangan,Indonesia,—,—,—,—,PT ASDP Indonesia Ferry (Persero) - Angkutan Sungai Danau & Penyeberangan,Indonesia,—,—,—,—,7818638,525019458,1193,1600,6MG28BX
roll on roll off with container capacity,141337,Saint Roch,Dead,Bahamas,9302,1980,15'+ dwt,24223,Single,—,31007,484/02,Stocznia im. Komuny Paryskiej,Gdynia,186.49,170.00,32.26,32.26,19.60,10.62,1.68,Zaklady Przemyslu Metalowego H. Cegielski S.A.,Sulzer Turbomachinery Services,Indian Breakers,—,Nassau,1327,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7724306,—,12975,17400,6RND90
Roll On Roll Off,14137650,"Linkspan At Sloehaven, Vlissingen-oost",Live,Netherlands,—,2007,Unknown size,—,Single,—,,393,—,"",80.00,—,—,31.00,—,7.03,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9089645,—,—,—,—
Roll On Roll Off,14137654,Linkspan At Holyhead Berth No. 5,Live,U.K.,—,2004,Unknown size,—,Single,—,,Y8976839,—,"",—,—,—,—,—,—,—,—,—,—,—,Holyhead,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8976839,—,—,—,—
roll on roll off with container capacity,141413,Lider Ilyas,Live,Cameroon,2208,1980,-5'dwt,4860,Single,TJM5180,7362,254,ACH - Construction Navale,Le Havre,109.62,102.69,19.40,19.40,12.95,5.69,0.54,Compagnie Alsthom Atlantique,Kobe Hatsudoki,Lider Gemi Sanayi Turizm Nakliyat ve Ticaret Limited Sirketi,Turkiye,—,168,Bulut Family Group of Companies,Turkiye,Lider Gemi Sanayi Turizm Nakliyat ve Ticaret Limited Sirketi,Turkiye,Lider Ilyas Shipping Company Limited,Turkiye,Samsun Shipping Limited,Turkiye,—,—,—,—,Samsun Shipping Limited,Turkiye,—,—,—,—,7908445,613224100,1939,2600,8PA6L280
roll on roll off with container capacity,141501,Super Shuttle Roro 9,Live,Panama,5366,1980,10'-15'dwt,11400,Single,—,17884,261,Rauma-Repola Oy,Savonlinna,170.90,158.88,23.00,23.00,17.51,7.61,9.90,Krupp MaK Maschinenenbau GmbH,Mak Motoren GmbH & Company KG,Indian Breakers,India,Panama,572,Indian Breakers,India,Indian Breakers,India,Indian Breakers,India,Indian Breakers,India,—,—,—,—,—,—,—,—,—,—,7902647,354292000,6000,8157,8M552C
roll on roll off with container capacity,141573,Morning Rose,Dead,Norway (Int. Register),13502,1980,15'+ dwt,15603,Double Bottom,—,45007,1196,Mitsui Engineering & Shipbuilding Company Limited (Tamano),Tamano,194.02,180.00,32.29,32.26,10.50,9.02,1.48,Mitsui Engineering & Shipbuilding Company Limited,B&W Diesel A/S,Hoegh Autoliners.,—,Oslo,102,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7817866,—,9769,13100,7K67GF
Roll On Roll Off,141700,Abbeyville,Dead,Honduras,484,1945,-5'dwt,1524,Single,—,1299,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,San Lorenzo,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7830387,—,343,460,UNKNOWN
Roll On Roll Off,141747,Porto Novo,Live,Cape Verde,127,1980,-5'dwt,177,Single,D4BT,300,579,Oelkers & Eichler Schiffswerft GmbH,Hamburg,33.00,—,8.50,—,3.60,2.50,1.10,Deutz AG,Deutz AG,Comissao de Gestao dos Transportes Maritimos de Cabo Verde,Republic of Cape Verde,—,—,Comissao de Gestao dos Transportes Maritimos de Cabo Verde,Republic of Cape Verde,Comissao de Gestao dos Transportes Maritimos de Cabo Verde,Republic of Cape Verde,Comissao de Gestao dos Transportes Maritimos de Cabo Verde,Republic of Cape Verde,Comissao de Gestao dos Transportes Maritimos de Cabo Verde,Republic of Cape Verde,Companhia Nacional de Navegacao Arca Verde,Republic of Cape Verde,—,—,—,—,—,—,—,—,7920417,—,227,305,SBA6M816
roll on roll off with container capacity,142023,Al Fayrouz,Dead,Panama,1877,1980,-5'dwt,2901,Double Bottom,3ELB4,6257,1414,Neue Schlichting-Werft GmbH,Travemunde,114.00,—,17.90,17.50,11.75,5.16,6.59,Fried. Krupp AG Hoesch-Krupp,Mak Motoren GmbH & Company KG,Pan Suez Marine,—,Panama,220,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822512,372899000,3310,2250,6M453
Roll On Roll Off,142046,Tideway,Dead,St. Vincent & Grenadines,610,1980,-5'dwt,1452,Single,—,943,1463,James W. Cook & Company,Colchester,64.00,—,11.20,—,6.30,4.00,2.30,Ruston Diesels Limited,Ruston Paxman Diesels Limited,Gremex,—,Kingstown,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7902312,—,940,1260,6RKCM
roll on roll off with container capacity,14205975,Fugaku Maru,Live,Japan,—,2024,5'-10'dwt,5832,Single,JD5327,12818,1240,—,Unknown,165.00,—,—,27.60,19.00,6.78,12.22,—,MAN Energy Solutions SE,Fujitrans Corporation,Japan,Nagoya,—,Fujitrans Corporation,Japan,Fujitrans Corporation,Japan,Fujitrans Corporation,Japan,Kagoshima Senpaku Kaisha Limited,Japan,—,—,—,—,Kagoshima Senpaku Kaisha Limited,Japan,—,—,—,—,9983853,431023342,—,—,8S50ME-C9.7
roll on roll off with container capacity,142164,Al Salmy 6,Dead,United Arab Emirates,4806,1983,5'-10'dwt,6017,Single,A6E2753,16021,212,Empresa Nacional Bazan,Ferrol,138.00,125.00,21.58,21.50,16.90,6.69,10.21,Empresa Nacional Bazan De Construcciones Naval,MAN Energy Solutions SE,Salem A.,—,Abu Dhabi,339,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7728596,470341000,4137,5625,9L40/54A
roll on roll off with container capacity,142176,Quill,Dead,Tuvalu,6824,1980,10'-15'dwt,14019,Single,—,22748,1318,Kawasaki Heavy Industries Limited Shipbuilding Division,Sakaide,176.98,160.03,26.50,26.50,18.50,8.52,2.62,Kawasaki Shipbuilding Corporation,MAN Energy Solutions SE,Indian Breakers,—,Funafuti,753,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822196,—,5900,7912,7L52/55A
roll on roll off with container capacity,142203,Charlottenborg,Dead,Singapore,9302,1981,15'+ dwt,24223,Single,—,31007,484/03,Stocznia Gdanska - Grupa Stoczni Gdynia S.A.,Gdansk,186.52,170.72,32.26,32.26,19.60,10.66,8.94,H. Cegielski-Poznan S.A.,Sulzer Turbomachinery Services,Indian Breakers,—,Singapore,1327,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7813705,—,12975,17400,6RND90
Roll On Roll Off,142227,Huracan,Dead,Malta,695,1981,-5'dwt,1928,Single,—,1487,—,—,Spain,74.00,—,14.40,—,9.70,5.50,4.20,—,Unknown Engine Designer,Unknown Owners,—,Valletta,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7905479,—,2229,2989,UNKNOWN
roll on roll off with container capacity,142232,Board,Dead,Panama,5348,1980,10'-15'dwt,10208,Single,—,17828,308,Societe Industrielle France-Dunkirk,Dunkirk,170.00,160.61,25.07,25.07,15.42,7.74,7.68,CCM Sulzer,Sulzer Turbomachinery Services,Indian Breakers,—,Panama,857,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7820423,—,6488,8700,12ZV40/48
roll on roll off with container capacity,14224,Rover,Dead,U.S.A.,6850,1969,15'+ dwt,15946,Single,—,11757,—,—,U.S.A.,183.00,—,27.50,—,18.00,10.40,7.60,—,Unknown Engine Designer,Central G.,—,—,758,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6901830,—,—,—,UNKNOWN
roll on roll off with container capacity,142240,Flipper,Dead,Sao Tome & Principe,1799,1980,-5'dwt,2877,Single,—,4688,129,Trosvik Verksted AS,Brevik,109.80,96.60,19.18,16.59,12.75,5.51,7.24,Bergen Group BMV,Normo,Unknown Owners,—,—,160,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7907647,—,1156,1550,LDM-9
Roll On Roll Off,142311,Koyo Maru No.2,Dead,Japan,731,1980,-5'dwt,2300,Single,—,1327,—,—,Japan,87.00,—,16.00,—,8.20,5.50,2.70,—,Unknown Engine Designer,Nichitoku,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7930424,—,2685,3600,UNKNOWN
roll on roll off with container capacity,142556,Global P.,Dead,St. Kitts-Nevis,2983,1981,5'-10'dwt,6680,Single,—,9944,485/01,Stocznia Gdansk Shipbuilding,Gdansk,133.00,121.60,20.81,20.81,14.18,7.08,7.10,Zaklady Urzadzen Technicznych Zgoda,Sulzer Turbomachinery Services,Indian Breakers,—,—,301,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7826324,—,2908,3900,6ZL40/48
roll on roll off with container capacity,142612,Winner XI,Dead,St. Kitts-Nevis,6824,1980,10'-15'dwt,14019,Single,—,22748,1319,Kawasaki Heavy Industries Limited Shipbuilding Division,Sakaide,178.98,160.03,26.50,26.50,18.50,8.52,2.62,Kawasaki Shipbuilding Corporation,MAN Energy Solutions SE,Indian Breakers,—,—,753,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822201,—,5896,7906,8L52/55A
roll on roll off with container capacity,142613,Guan He Kou,Dead,China,5407,1980,10'-15'dwt,13798,Single,—,13615,1234,Evergreen Heavy Industry Company,Shimonoseki,146.50,135.00,22.74,22.74,15.00,15.00,0.00,NKK Corporation,Semt Pielstick SA,COSCOL.,—,Guangzhou,381,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7902893,—,6107,8190,14PC2-5V-400
roll on roll off with container capacity,142625,Saudi Shaqra,Dead,Saudi Arabia,13152,1980,15'+ dwt,38000,Single,—,43841,4370,Fincantieri-Cantieri Navali Italiani S.p.A. Monfalcone,Monfalcone,225.00,207.30,32.26,32.26,20.76,10.84,9.92,Grandi Motori Trieste,Fiat Avio SpA,NSCSA,—,—,1455,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822574,—,16778,22500,B780.9L
roll on roll off with container capacity,142635,Crowley Ambassador,Dead,Marshall Islands,4752,1980,5'-10'dwt,9140,Double Hull,—,15843,596,Meyer Werft GmbH (Dormant),Papenburg,168.81,156.15,22.10,21.60,13.89,6.46,7.43,Stork-Werkspoor Diesel B.V.,Stork-Werkspoor Diesel B.V.,Indian Breakers,—,Majuro,400,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7920390,—,7830,10500,6TM620
Roll On Roll Off,142641,Kittitas,Live,U.S.A.,1756,1990,-5'dwt,1910,Single,WYQ9302,2476,344,United Marine Shipbuilding,Seattle,96.77,—,23.98,23.98,7.01,4.72,2.29,General Electric Company,General Electric Company,Washington State Transport,United States of America,—,—,State of Washington,United States of America,Washington State Transport,United States of America,Washington State Ferries,United States of America,Washington State Ferries,United States of America,—,—,—,—,Washington State Ferries,United States of America,—,—,—,—,7808114,366772960,1864,2500,7FDM12
Roll On Roll Off,14264209,Kariyushi II,Live,Japan,—,,5'-10'dwt,7284,Single,JD5401,11614,—,—,"",181.51,—,—,26.00,—,—,—,—,MAN Diesel AS,Ryukyu Kaiun Kaisha,Japan,—,—,Ryukyu Kaiun Kaisha,Japan,Ryukyu Kaiun Kaisha,Japan,Ryukyu Kaiun Kaisha,Japan,Ryukyu Kaiun Kaisha,Japan,—,—,—,—,Ryukyu Kaiun Kaisha,Japan,—,—,—,—,9983384,431024364,—,—,9S50ME-C8.5
Roll On Roll Off,142675,Lomaiviti Princess 2,Live,Fiji,603,1980,-5'dwt,700,Single,3DSX,1039,1181,Aquitaine Marine,Bordeaux,59.60,54.00,12.00,12.00,5.70,3.50,2.20,Wartsila SACM,Societe Alsacienne de Construction Mecaniques (SACM),Goundar Shipping Limited,Fiji,—,—,Goundar Shipping Limited,Fiji,Goundar Shipping Limited,Fiji,Goundar Shipping Limited,Fiji,Goundar Shipping Limited,Fiji,—,—,—,—,—,—,—,—,—,—,7824924,520254000,447,600,V16A
Roll On Roll Off,14300,Mariam 4,Dead,Honduras,863,1974,-5'dwt,2337,Single,—,1598,231,Astilleros Construcciones S.A.,Vigo,107.00,95.00,17.51,17.51,11.21,4.87,6.34,Hijos de J. Barreras S.A.,Deutz AG,Unknown,—,San Lorenzo,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7228170,—,2871,3850,RBV12M350
Roll On Roll Off,143030,Himeji Maru,Live,China,227,1967,-5'dwt,684,Single,—,577,242,Kishimoto Zosen K.K.,Kinoe,49.00,—,11.00,—,3.80,2.60,1.20,—,Unknown Engine Designer,"Government of China, (The People's Republic of)",People's Republic of China,—,—,"Government of China, (The People's Republic of)",People's Republic of China,"Government of China, (The People's Republic of)",People's Republic of China,"Government of China, (The People's Republic of)",People's Republic of China,"Government of China, (The People's Republic of)",People's Republic of China,—,—,—,—,—,—,—,—,—,—,6814386,—,634,850,8DSM-26
Roll On Roll Off,143031,Blue Water Princess,Live,Philippines,282,1977,-5'dwt,278,Single,—,693,133,Nakamura Shipbuilding & Engine Works Company Limited,Yanai,56.00,—,13.20,—,4.00,3.10,0.90,Niigata Shipbuilding & Repair Incorporated,Niigata Shipbuilding & Repair Incorporated,ACG Joy Express,Philippines,—,—,ACG Joy Express,Philippines,ACG Joy Express,Philippines,ACG Joy Express,Philippines,ACG Joy Express,Philippines,—,—,—,—,—,—,—,—,—,—,7701574,—,1193,1600,6M31GX
Roll On Roll Off,143033,Kota Muna,Live,Indonesia,206,1974,-5'dwt,284,Single,YFEQ,686,237,Matsuura Tekko Shipbuilding Company Limited,Hiroshima,57.00,53.00,—,13.20,4.00,3.00,1.00,Daihatsu Diesel Manufacturing Company Limited,Daihatsu Diesel Manufacturing Company Limited,P.T. Juli Rahayu,Indonesia,Makassar,—,P.T. Juli Rahayu,Indonesia,P.T. Juli Rahayu,Indonesia,P.T. Juli Rahayu,Indonesia,P.T. Juli Rahayu,Indonesia,—,—,—,—,—,—,—,—,—,—,7396537,—,1193,1600,8DSM-26
roll on roll off with container capacity,143205,MSC Selin,Dead,Panama,8628,1981,15'+ dwt,17869,Double Bottom,—,22131,292,Fincantieri-Cantieri Navali Italiani S.p.A. Venice,Venice,173.01,160.67,30.40,30.40,17.00,8.19,8.81,AB Lindholmens Varv,Semt Pielstick SA,Indian Breakers,—,Panama,1250,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822548,—,7867,10550,18PC2-5V-400
Roll On Roll Off,143212,Gal Costa,Live,Brazil,521,1981,-5'dwt,284,Single,PP7901,944,107,Estaleiros EBIN/So S.A.,Porto Alegre,71.00,66.35,13.50,13.50,4.50,2.87,1.63,Industrias Villares S.A.,Alpha Diesels A/S,Companhia de Navegacao Bahiana - CNB,Brazil,—,—,Companhia de Navegacao Bahiana - CNB,Brazil,Companhia de Navegacao Bahiana - CNB,Brazil,Companhia de Navegacao Bahiana - CNB,Brazil,Companhia de Navegacao Bahiana - CNB,Brazil,—,—,—,—,—,—,—,—,—,—,7812658,—,694,930,6T23L-VO
Roll On Roll Off,143257,Sri Indera Sakti,Dead,Malaysia,—,1980,-5'dwt,1785,Single,—,3000,—,—,"",—,—,—,—,—,—,—,—,Unknown Engine Designer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7928574,—,2237,3000,UNKNOWN
Roll On Roll Off,143273,Bruno,Dead,Philippines,3823,1980,-5'dwt,4636,Single,—,5622,252,Shin Yamamoto Shipbuilding Company Limited,Kochi(JPN),129.99,—,20.00,20.00,6.50,6.00,0.50,Ishikawajima-Harima Heavy Industries Company Limited,Semt Pielstick SA,Philippine Span Asia,—,Cebu,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8005733,—,7649,10400,16PC2-5V-400
Roll On Roll Off,143361,Nereide,Live,Italy,769,1980,-5'dwt,550,Single,IBGR,1398,153,Cantieri Navali Fratelli Orlando S.c.r.l.,Italy,69.59,64.30,14.02,14.00,4.80,0.00,1.24,Wartsila NSD Italia SpA,Fiat Avio SpA,Campania Regionale Marittima SpA (CAREMAR) (CAREMAR),Italy,Naples,—,Mediterranean Shipping Company S.A. (MSC),Switzerland,Campania Regionale Marittima SpA (CAREMAR) (CAREMAR),Italy,Campania Regionale Marittima SpA (CAREMAR) (CAREMAR),Italy,Campania Regionale Marittima SpA (CAREMAR) (CAREMAR),Italy,—,—,—,—,Campania Regionale Marittima SpA (CAREMAR) (CAREMAR),Italy,—,—,—,—,7717286,247415500,1853,2520,B230.12
Roll On Roll Off,143363,Macaiva,Live,Italy,205,1979,-5'dwt,199,Single,IMMF,632,887,Campanella S.p.A.,Savona,45.00,41.80,10.51,10.50,4.20,0.00,0.51,Wartsila NSD Italia SpA,Fiat Avio SpA,Gestour S.r.l.,Italy,Naples,—,Gestour S.r.l.,Italy,Gestour S.r.l.,Italy,Gestour S.r.l.,Italy,Carannante Management Consulting & Other S.R.L.,Italy,—,—,—,—,Carannante Management Consulting & Other S.R.L.,Italy,—,—,—,—,7812127,247047700,927,1260,B230.6A
roll on roll off with container capacity,143412,Saudi Taif,Dead,Saudi Arabia,11190,1981,15'+ dwt,38000,Single,—,37302,4371,Fincantieri-Cantieri Navali Italiani S.p.A. Monfalcone,Monfalcone,225.00,207.35,32.26,32.26,20.76,10.84,9.92,Grandi Motori Trieste,Fiat Avio SpA,NSCSA,—,—,1455,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7822586,—,16778,22500,B780.9L
Roll On Roll Off,143463,Ira,Dead,Greece,148,1978,-5'dwt,708,Single,—,708,—,Vas. Homatas Salonica Shipyards,Thessaloniki,45.77,—,—,20.00,3.00,2.21,0.79,—,Unknown Engine Designer,Athena SA,—,Piraeus,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6825189,—,447,600,UNKNOWN
Roll On Roll Off,143543,Iphigenia,Live,Greece,407,1964,Unknown size,—,Single,SV3442,517,—,Georgas & Sortas,Perama,44.00,—,10.50,—,—,1.30,—,—,Unknown Engine Designer,M.J. Venetsianos,Greece,—,—,M.J. Venetsianos,Greece,M.J. Venetsianos,Greece,M.J. Venetsianos,Greece,M.J. Venetsianos,Greece,—,—,—,—,—,—,—,—,—,—,6602070,—,239,321,F26A
Roll On Roll Off,143544,Liana,Live,Greece,301,1971,-5'dwt,284,Single,SV3507,519,43,Eleusina Shipyards Savvas Bros Limited,Eleusis,54.00,—,10.40,—,2.70,2.10,0.60,Mirrlees Blackstone Limited,Mirrlees Blackstone Limited,Spanos Maritime & Trading Company Limited,Greece,Piraeus,—,Spanos Maritime & Trading Company Limited,Greece,Spanos Maritime & Trading Company Limited,Greece,Liana Company Limited,Nigeria,Spanos Maritime & Trading Company Limited,Greece,—,—,—,—,—,—,—,—,—,—,7111793,—,373,500,ES6
