LLI Vessel Type,LLI NO,Name,Status,Flag,Net Weight,Built,Vessel Type and Size,DWT,Hull Type,Call Sign,Gross Tonnes,Yard Number,Built By,Built At,Length Overall (m),Length Between Perpendicular (m),Breadth Extreme (m),Breadth Moulded (m),Depth (m),Maximum Draught (m),Freeboard (m),Engine Built By,Designed By,Company contact,Company contact Country/Region,Port Of Registry,TEU Capacity,Beneficial Owner,Beneficial Owner Country/Region,Commercial Operator,Commercial Operator Country/Region,Registered Owner,Registered Owner Country/Region,Technical Manager,Technical Manager Country/Region,Third Party Operator,Third Party Operator Country/Region,Nominal Owner,Nominal Owner Country/Region,ISM Manager,ISM Manager Country/Region,Scrubber type,Scrubber operating arrangement,Scrubber manufacturer,Scrubber installation type,IMO,MMSI,Engine Power (kW),Engine Horsepower,Engine Designation
Roll On Roll Off,245231,Bigga,Live,U.K.,82,1991,-5'dwt,104,Single,MNXZ2,274,1043,James N. Miller & Sons Limited,St. Monans,33.00,—,10.30,—,4.20,—,—,Kelvin Diesels PLC,Kelvin Diesels PLC,Shetland Islands Council,United Kingdom,—,—,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,—,—,—,—,—,—,—,—,—,—,9000821,232003606,738,990,TBSC8
Roll On Roll Off,245232,Snolda,Live,U.K.,49,1983,-5'dwt,151,Single,GDHX,130,49,Th. Hellesoy Shipbuilding Skipsbyggeri AS,Lofallstrand,24.00,—,7.01,7.01,3.80,3.50,0.30,Kelvin Diesels PLC,Kelvin Diesels PLC,Shetland Islands Council,United Kingdom,—,—,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,—,—,—,—,—,—,—,—,—,—,8302090,232003608,350,470,TASC8
Roll On Roll Off,245235,Geira,Live,U.K.,69,1988,-5'dwt,68,Single,MJPA7,226,968,Richard Dunston (Hessle) Limited,Hessle,27.00,—,9.00,—,3.90,2.60,1.30,Kelvin Diesels PLC,Kelvin Diesels PLC,Shetland Islands Council,United Kingdom,—,—,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,—,—,—,—,—,—,—,—,—,—,8712489,232003604,298,400,TAS8
Roll On Roll Off,245236,Grima,Live,U.K.,76,1974,-5'dwt,54,Single,GTOC,147,Y51,Bideford Shipyard (1973) Limited,Bideford,23.00,—,7.70,—,3.20,2.10,1.10,Kelvin Diesels PLC,Kelvin Diesels PLC,Shetland Islands Council,United Kingdom,—,—,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,—,—,—,—,—,—,—,—,—,—,7328205,232003601,134,180,TA6
Roll On Roll Off,245237,Hendra,Live,U.K.,74,1982,-5'dwt,112,Single,GCTB,248,45,McTay Marine Limited,Bromborough,33.00,—,9.70,—,3.70,2.60,1.10,Kelvin Diesels PLC,Kelvin Diesels PLC,Shetland Islands Council,United Kingdom,—,—,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,Shetland Islands Council,United Kingdom,—,—,—,—,—,—,—,—,—,—,8200254,232003598,302,405,TASC8
Roll On Roll Off,245240,Isla Verde Quince,Live,Spain,47,1957,-5'dwt,71,Single,EATT,157,20,Kaarboverkstedet A/S,Harstad,28.80,27.25,8.00,—,3.30,2.17,1.13,Kelvin Diesels PLC,Kelvin Diesels PLC,Gabarras y Servicios S.A.,Spain,Algeciras,—,Gabarras y Servicios S.A.,Spain,Gabarras y Servicios S.A.,Spain,Gabarras y Servicios S.A.,Spain,—,—,—,—,—,—,—,—,—,—,—,—,7939585,225986321,395,530,TBSC8
Roll On Roll Off,245241,Thora,Live,U.K.,76,1975,-5'dwt,54,Single,GUVV,147,21,Torshavnar Skipasmidja p/f,Torshavn,23.00,—,7.70,—,3.20,2.10,1.10,Kelvin Diesels PLC,Kelvin Diesels PLC,Harbour Facilities (St. Helier) Limited (Boatloads.je),United Kingdom,—,—,Harbour Facilities (St. Helier) Limited (Boatloads.je),United Kingdom,Harbour Facilities (St. Helier) Limited (Boatloads.je),United Kingdom,Harbour Facilities (St. Helier) Limited (Boatloads.je),United Kingdom,Harbour Facilities (St. Helier) Limited (Boatloads.je),United Kingdom,—,—,—,—,—,—,—,—,—,—,7347354,232003599,134,180,TA6
Roll On Roll Off,245242,Olkhon,Live,Sierra Leone,—,1992,-5'dwt,3693,Single,9LU2072,3692,265,Kitanihon Shipbuilding Company Limited,Hachinohe,114.50,105.50,20.40,20.00,10.70,5.79,4.91,Akasaka Diesels Limited,Mitsubishi Heavy Industries Limited,Far East Maritime Transport Company Limited,Cyprus,Freetown,—,Far East Maritime Transport Company Limited,Cyprus,Far East Maritime Transport Company Limited,Cyprus,Far East Maritime Transport Company Limited,Cyprus,Femarship Limited,Cyprus,—,—,—,—,Femarship Limited,Cyprus,—,—,—,—,9031791,667001269,7060,9600,8UEC45LA
roll on roll off with container capacity,245245,Bhasha Shaheed Barkat,Live,Bangladesh,294,1993,-5'dwt,294,Single,—,981,441,Dockyard & Engineering Works Limited,Narayanganj,60.00,—,12.50,12.19,2.90,1.90,1.00,Alpha Diesels A/S,Alpha Diesels A/S,Bangladesh Inland Water Transport Corporation,Bangladesh,—,—,Government of The People's Republic of Bangladesh,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,Bangladesh Inland Water Transport Corporation,Bangladesh,—,—,—,—,—,—,—,—,—,—,9006100,—,411,551,405-26VO
roll on roll off with container capacity,245254,Niki Mila Utama,Live,Indonesia,1979,1992,-5'dwt,2966,Single,YDCK2,7262,997,Hayashikane Shipbuilding & Engineering Company Limited,Shimonoseki,124.71,116.00,17.50,17.50,9.00,6.06,2.97,Akasaka Diesels Limited,Mitsubishi Heavy Industries Limited,Unknown Owners,—,—,85,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,Unknown Owners,—,—,—,KDB Capital Corporation,Republic of Korea,—,—,—,—,—,—,9045883,525201326,7159,9600,8UEC45LA
roll on roll off with container capacity,245267,Bay One,Live,Comoros,1236,1993,-5'dwt,1236,Single,D6A2828,4992,971,Mitsubishi Heavy Industries Limited Shipbuilding,Shimonoseki,120.54,—,15.20,15.20,8.75,5.40,3.35,Kobe Diesel Company Limited,Mitsubishi Heavy Industries Limited,Unknown Owners,—,Moroni,32,Unknown Owners,—,Unknown Owners,—,Delta Dredging Private Limited,Republic of Singapore,Karnafuly Ship Builders Limited,Bangladesh,—,—,—,—,Karnafuly Ship Builders Limited,Bangladesh,—,—,—,—,9054080,620828000,4176,11200,8UEC37LA
roll on roll off with container capacity,245271,Polar Explorer,Live,Bahamas,925,1992,-5'dwt,3300,Single,C6WM2,2881,177,Orskov Yard A/S,Frederikshavn,91.63,84.98,16.20,16.20,6.90,4.45,0.55,"MAN B&W Diesel AS, Alpha Diesel",Alpha Diesels A/S,Petroleum Geo-Services Asia Pacific Private Limited,Norway,Nassau,276,Petroleum Geo-Services Asia Pacific Private Limited,Norway,Petroleum Geo-Services Asia Pacific Private Limited,Norway,Arrow Seismic ASA,Norway,G.C. Rieber Shipping AS,Norway,—,—,—,—,G.C. Rieber Shipping AS,Norway,—,—,—,—,9042271,309032000,1298,1740,842330A
roll on roll off with container capacity,24530,Ai Giorgis,Dead,Comoros,695,1971,-5'dwt,1827,Single,—,2317,235,Hermann Suerken GmbH & Company KG,Papenburg,80.00,70.80,12.82,12.80,7.57,4.16,3.41,Alpha Diesels A/S,Alpha Diesels A/S,Bangladesh Breakers,—,Moroni,129,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7110115,—,1490,1998,16V23HU
Roll On Roll Off,245352,Ostina,Live,Indonesia,2504,1992,-5'dwt,3066,Single,JZIJ,8344,1000,Yamanishi Shipbuilding & Iron Works Incorporated,Japan,108.96,100.00,20.00,20.00,5.85,5.70,0.15,The Hanshin Diesel Works Limited,B&W Diesel A/S,P.T. Agung Transina Raya,Indonesia,Jakarta,—,P.T. Agung Transina Raya,Indonesia,P.T. Agung Transina Raya,Indonesia,P.T. Agung Transina Raya,Indonesia,P.T. Agung Transina Raya,Indonesia,—,—,—,—,P.T. Agung Transina Raya,Indonesia,—,—,—,—,9059901,525019645,4470,6080,8L35MC
roll on roll off with container capacity,245420,Fides,Dead,Malta,12559,1993,15'+ dwt,16806,Double Bottom,9HA3718,33825,655,Flender Werft AG,Lubeck,178.09,164.00,26.80,26.80,16.40,8.75,7.65,Zaklady Urzadzen Technicznych Zgoda,Sulzer Turbomachinery Services,Turkish Breakers,Turkiye,Valletta,504,Turkish Breakers,Turkiye,Turkish Breakers,Turkiye,Turkish Breakers,Turkiye,Turkish Breakers,Turkiye,—,—,—,—,—,—,—,—,—,—,9030852,—,5760,7831,8ZAL40S
Roll On Roll Off,246307,Neptune Pacific,Live,Panama,309,1966,-5'dwt,189,Single,HP5746,587,700,Kanasashi Shipbuilding Company Limited,Shimizu,49.00,—,13.40,—,3.50,2.50,1.00,Akasaka Diesels Limited,Akasaka Diesels Limited,Great Neptune Shipping Company Incorporated,"Hong Kong, S.A.R., China",Panama,—,Great Neptune Shipping Company Incorporated,"Hong Kong, S.A.R., China",Great Neptune Shipping Company Incorporated,"Hong Kong, S.A.R., China",Great Neptune Shipping Company Incorporated,"Hong Kong, S.A.R., China",Great Neptune Shipping Company Incorporated,"Hong Kong, S.A.R., China",—,—,—,—,—,—,—,—,—,—,6615510,—,522,700,MK6SS
roll on roll off with container capacity,246641,Tropic Tide,Live,St. Vincent & Grenadines,1961,1993,5'-10'dwt,8200,Single,J8AZ3,6536,BO 321,Singapore Technologies Shipbuilding & Engineering Limited,Singapore,121.62,109.74,22.00,22.00,9.61,6.20,3.41,Mak Motoren GmbH & Company KG,Mak Motoren GmbH & Company KG,Tropical Shipping & Construction Company Limited LLC,United States of America,Kingstown,392,SaltChuk Resources Incorporated,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,Tropical Shipping & Construction Company Limited LLC,United States of America,—,—,—,—,Tropical Shipping & Construction Company Limited LLC,United States of America,—,—,—,—,9039028,375903000,3300,4484,9M453C
